,age,birth date,death date,experience,games,name
0,77.0,1902-01-30,1979-09-16,1,2,Nat Hickey
1,,1913-09-04,1967-01-00,1,30,Joe Fabel
2,92.0,1913-11-03,2006-03-14,1,6,Nat Frankel
3,99.0,1913-09-06,2013-03-25,1,2,Ben Goldfaden
4,74.0,1913-12-03,1988-03-21,1,23,Charley Shipp
5,81.0,1914-12-17,1996-07-29,3,171,Chick Reiser
6,78.0,1915-01-14,1993-06-05,2,93,Mike Bloom
7,78.0,1915-11-11,1993-12-09,1,47,Matt Guokas
8,,1915-09-07,1979-05-00,1,50,Wilbert Kautz
9,85.0,1915-07-30,2001-01-21,1,12,Walt Miller
10,63.0,1915-04-23,1978-08-15,3,125,Mike Novak
11,58.0,1915-08-04,1974-04-02,1,61,Hal Tidrick
12,88.0,1916-05-18,2005-04-14,1,30,Chet Aubuchon
13,87.0,1916-06-02,2003-10-27,3,111,Hank Beenders
14,,1916-11-02,1988-08-00,1,51,Chet Carlisle
15,64.0,1916-06-12,1980-10-27,2,71,Art Hillhouse
16,88.0,1916-02-13,2004-07-30,1,57,Ed Melvin
17,80.0,1916-09-22,1996-10-25,1,7,Red Mihalik
18,66.0,1916-01-03,1982-05-01,1,54,Jake Pelkington
19,61.0,1916-07-12,1977-07-25,3,146,Mel Riebe
20,78.0,1917-02-24,1996-01-09,1,43,Moe Becker
21,79.0,1917-11-06,1997-04-18,2,122,Bob Carpenter
22,92.0,1917-02-12,2009-11-09,4,202,Al Cervi
23,90.0,1917-09-18,2008-09-05,1,54,Bob Cluggish
24,81.0,1917-07-02,1998-12-10,1,57,Bob Dille
25,78.0,1917-10-21,1995-11-05,1,46,Gene Englund
26,80.0,1917-09-15,1998-03-11,3,139,Buddy Jeannette
27,91.0,1917-03-25,2009-03-11,3,139,Grady Lewis
28,73.0,1917-07-11,1990-09-18,4,229,Ed Sadowski
29,64.0,1917-12-11,1982-03-19,2,52,Ben Scharnus
30,51.0,1917-01-03,1968-06-26,4,205,Dick Schulz
31,76.0,1917-03-06,1993-10-21,3,147,Irv Torgoff
32,64.0,1918-11-01,1983-06-06,3,153,Curly Armstrong
33,83.0,1918-08-08,2002-07-01,1,58,John Barr
34,79.0,1918-10-07,1997-12-14,1,45,Frankie Baumholtz
35,80.0,1918-06-08,1998-07-10,1,2,Lonnie Eggleston
36,85.0,1918-07-24,2003-08-18,1,1,Don Eliason
37,92.0,1918-03-02,2010-06-19,1,16,Ned Endress
38,92.0,1918-07-06,2010-09-29,1,42,Herm Fuetsch
39,,1918-11-22,1970--00,2,20,Elmer Gainer
40,95.0,1918-06-13,2013-08-14,3,92,Jack Garfinkel
41,68.0,1918-06-07,1987-03-10,1,11,George Glamack
42,62.0,1918-08-30,1980-12-30,3,142,Bruce Hale
43,78.0,1918-06-14,1996-07-23,2,46,Jerry Kelly
44,91.0,1918-07-25,2009-10-19,3,161,Angelo Musi
45,79.0,1918-04-07,1997-06-29,1,51,Petey Rosenberg
46,61.0,1918-12-20,1980-03-21,2,123,Herm Schaefer
47,91.0,1918-09-10,2010-01-05,1,53,Nick Shaback
48,85.0,1918-03-20,2003-04-24,6,261,Belus Smawley
49,88.0,1918-05-15,2007-02-26,1,17,Virgil Vaughn
50,58.0,1918-07-12,1977-07-07,1,61,Red Wallace
51,71.0,1918-03-18,1990-01-06,1,50,Jake Weber
52,81.0,1919-02-09,2000-06-09,2,56,John Abramovic
53,71.0,1919-10-12,1990-10-14,1,5,Leon Brown
54,85.0,1919-03-22,2004-10-16,4,180,Don Carlson
55,84.0,1919-08-01,2003-11-28,1,12,Armand Cure
