,all star,birth date,birth year,experience,first year,games,last year,link,name,position
0,0,11/13/1900,1900,4,1922,43,1925,/players/A/AndeEd20.htm,Eddie Anderson,E
1,0,7/12/1900,1900,1,1926,2,1926,/players/A/AshxJu20.htm,Juddy Ash,G
2,0,7/10/1900,1900,2,1924,3,1925,/players/A/AultCh20.htm,Chalmer Ault,T
3,0,12/9/1900,1900,1,1926,8,1926,/players/B/BabcSa20.htm,Sam Babcock,WB-FB-BB
4,0,11/4/1900,1900,5,1927,50,1931,/players/B/BakeBu20.htm,Bullet Baker,BB-WB-TB-HB
5,0,10/29/1900,1900,5,1923,41,1927,/players/B/BasiMy20.htm,Myrt Basing,B
6,0,8/4/1900,1900,1,1922,4,1922,/players/B/BaumBu20.htm,Buddy Baumann,T-G
7,0,10/24/1900,1900,1,1923,5,1923,/players/B/BeasJo20.htm,John Beasley,G
8,0,2/6/1900,1900,1,1920,3,1920,/players/B/BeckJo22.htm,John Beckwith,HB
9,0,1/2/1900,1900,4,1921,11,1926,/players/B/BeckMa20.htm,Marty Beck,B
10,0,1/15/1900,1900,7,1924,90,1931,/players/B/BehmBu20.htm,Bull Behman,T-G/Coach
11,0,12/5/1900,1900,1,1925,1,1925,/players/B/BeldLe20.htm,Les Belding,E-B
12,0,2/18/1900,1900,5,1922,35,1926,/players/B/BerrGe20.htm,George Berry,G-T-C
13,0,3/24/1900,1900,2,1926,13,1927,/players/B/BiggRi20.htm,Riley Biggs,C
14,0,3/7/1900,1900,7,1925,59,1933,/players/B/BlumHe20.htm,Herb Blumer,E-G-T
15,0,9/18/1900,1900,1,1926,4,1926,/players/B/BoetCh20.htm,Champ Boettcher,B
16,0,5/7/1900,1900,3,1921,8,1923,/players/B/BoldCh20.htm,Chase Boldt,B
17,0,4/17/1900,1900,2,1925,17,1926,/players/B/BrisOb20.htm,Obie Bristow,B
18,0,12/19/1900,1900,2,1925,23,1926,/players/B/BuchFr20.htm,Frank Bucher,E
19,0,5/19/1900,1900,1,1923,2,1923,/players/B/BurgEa20.htm,Earl Burgner,BB-WB
20,0,8/19/1900,1900,1,1926,9,1926,/players/B/BurkJo21.htm,Joe Burks,C
21,0,9/11/1900,1900,1,1924,2,1924,/players/B/BurtHa20.htm,Hal Burt,G
22,0,5/21/1900,1900,2,1924,8,1925,/players/B/BurtLy20.htm,Lyle Burton,G-T-FB
23,0,12/15/1900,1900,2,1924,2,1925,/players/B/BurtRu20.htm,Russ Burt,WB-FB
24,0,5/22/1900,1900,4,1926,31,1929,/players/C/CahoTi20.htm,Tiny Cahoon,T
25,0,8/1/1900,1900,1,1926,6,1926,/players/C/CalhEr20.htm,Eric Calhoun,T-G
26,0,4/17/1900,1900,3,1924,18,1926,/players/C/CarlOk20.htm,Oke Carlson,T-G-C
27,0,9/23/1900,1900,2,1925,17,1926,/players/C/CarnAr20.htm,Art Carney,G-E
28,0,8/25/1900,1900,1,1922,3,1922,/players/C/CarnCh20.htm,Chuck Carney,T-G
29,0,11/3/1900,1900,2,1922,13,1923,/players/C/CearLl20.htm,Lloyd Cearing,B
30,0,1/6/1900,1900,1,1929,5,1929,/players/C/ClarBi22.htm,Bill Clarkin,T-G
31,0,11/26/1900,1900,1,1927,7,1927,/players/C/ClarPo20.htm,Pots Clark,HB
32,0,6/10/1900,1900,1,1926,1,1926,/players/C/ComeHo20.htm,Hook Comer,FB
33,0,9/14/1900,1900,3,1923,20,1925,/players/D/DeClFr20.htm,Frank DeClerk,C
34,0,4/4/1900,1900,2,1924,6,1925,/players/D/DeStFr20.htm,Fred DeStefano,B
35,0,6/9/1900,1900,2,1924,16,1926,/players/D/DeWiRu20.htm,Rufe DeWitz,B
36,0,9/25/1900,1900,1,1926,2,1926,/players/D/DonlJi20.htm,Jim Donlin,G
37,0,4/6/1900,1900,5,1922,39,1931,/players/E/ElliDo20.htm,Doc Elliott,B
38,0,8/13/1900,1900,2,1921,16,1922,/players/E/EnglHa20.htm,Harry Englund,E-HB
39,0,4/2/1900,1900,1,1926,1,1926,/players/E/EtelCa20.htm,Carl Etelman,B
40,0,4/14/1900,1900,5,1925,55,1929,/players/E/EvanEa20.htm,Earl Evans,T-G
41,0,3/30/1900,1900,1,1926,2,1926,/players/F/FiscCl20.htm,Clarke Fischer,HB
42,0,7/30/1900,1900,1,1925,16,1925,/players/F/FitzBo20.htm,Bob Fitzke,WB
43,0,8/8/1900,1900,1,1926,12,1926,/players/F/FlahDi20.htm,Dick Flaherty,E
44,0,1/25/1900,1900,2,1923,3,1924,/players/F/FlavJa20.htm,Jack Flavin,FB
45,0,4/22/1900,1900,1,1920,9,1920,/players/F/FlorPa20.htm,Paul Florence,E
46,0,2/20/1900,1900,8,1922,80,1931,/players/G/GarvHe20.htm,Hec Garvey,G-E-T-C
47,0,4/10/1900,1900,1,1923,2,1923,/players/G/GavaMi20.htm,Mike Gavagan,FB-BB
48,0,1/8/1900,1900,2,1925,14,1926,/players/G/GayxCh20.htm,Chet Gay,G-T-C
49,0,12/5/1900,1900,2,1922,5,1923,/players/G/GibsDi20.htm,Dick Gibson,T-G
50,0,12/19/1900,1900,4,1923,17,1926,/players/G/GilbWa20.htm,Wally Gilbert,TB-WB
51,0,12/11/1900,1900,1,1923,1,1923,/players/G/GiugPa20.htm,Patsy Giugliano,BB
52,0,2/19/1900,1900,2,1921,15,1922,/players/G/GlasMo20.htm,Morris Glassman,E
53,0,4/23/1900,1900,1,1922,6,1922,/players/G/GlicEd20.htm,Ed Glick,B
54,0,5/25/1900,1900,3,1925,28,1929,/players/G/GoleAr20.htm,Archie Golembeski,E-G-C/Coach
55,0,1/16/1900,1900,1,1923,5,1923,/players/G/GorgAl20.htm,Alex Gorgal,FB-WB
56,0,12/11/1900,1900,1,1926,2,1926,/players/G/GrahFr20.htm,Fred Graham,E
57,0,10/9/1900,1900,1,1926,2,1926,/players/G/GreeVe20.htm,Vee Green,T
58,0,11/27/1900,1900,1,1926,5,1926,/players/G/GrigHa20.htm,Hal Griggs,WB-HB
59,0,7/29/1900,1900,5,1923,48,1927,/players/G/GuliMi20.htm,Mike Gulian,T
60,0,10/29/1900,1900,2,1923,17,1924,/players/H/HallDi21.htm,Death Halladay,E-WB
61,0,6/22/1900,1900,4,1922,18,1926,/players/H/HeinFr20.htm,Fritz Heinisch,E-B
62,0,5/2/1900,1900,2,1923,7,1926,/players/H/HeldJa20.htm,Jack Heldt,G-C/Coach
63,0,10/12/1900,1900,2,1927,5,1928,/players/H/HipaSa20.htm,Sam Hipa,E
64,0,9/2/1900,1900,2,1920,3,1921,/players/H/HoleEr20.htm,Ernie Hole,G
65,0,11/23/1900,1900,2,1926,4,1927,/players/H/HowaRe20.htm,Red Howard,G
66,0,5/3/1900,1900,1,1921,1,1921,/players/H/HowsBi20.htm,Bill Howser,G-T
67,0,10/31/1900,1900,9,1927,105,1936,/players/H/HubbCa20.htm,Cal Hubbard,T-E-DE-G
68,0,9/16/1900,1900,1,1923,3,1923,/players/H/HuntBe20.htm,Ben Hunt,T
69,0,11/27/1900,1900,1,1928,5,1928,/players/I/IllmTe20.htm,Ted Illman,B
70,0,1/26/1900,1900,1,1926,3,1926,/players/J/JameLe20.htm,Lefty Jamerson,E
71,0,2/15/1900,1900,1,1926,9,1926,/players/J/JawiHe20.htm,Heinie Jawish,T-G
72,0,2/22/1900,1900,2,1923,6,1924,/players/J/JohnEd20.htm,Ed Johns,G
73,0,5/1/1900,1900,2,1926,14,1928,/players/K/KeefJa20.htm,Jack Keefer,TB-HB-FB
74,0,2/6/1900,1900,1,1925,1,1925,/players/K/KennJi20.htm,Jimmy Kennedy,FB
75,0,10/23/1900,1900,1,1923,11,1923,/players/K/KileRo20.htm,Roger Kiley,E
76,0,10/23/1900,1900,1,1923,2,1923,/players/L/LeapWe20.htm,Wes Leaper,E
77,0,3/13/1900,1900,1,1926,8,1926,/players/L/LestPi20.htm,Pinky Lester,E-T
78,0,8/25/1900,1900,3,1926,26,1930,/players/L/LidbCu20.htm,Cully Lidberg,FB
79,0,12/22/1900,1900,1,1923,7,1923,/players/M/MahoJo20.htm,John Mahoney,B-E
80,0,11/20/1900,1900,1,1926,7,1926,/players/M/MannJi20.htm,Jim Manning,TB-HB
81,0,12/8/1900,1900,1,1921,1,1921,/players/M/MartHe20.htm,Herman Martell,E
82,0,8/20/1900,1900,3,1923,17,1925,/players/M/MartRo21.htm,Roy Martineau,G-FB-T
83,0,10/19/1900,1900,2,1924,6,1925,/players/M/McCaVi20.htm,Vince McCarthy,B-E
84,0,8/23/1900,1900,1,1927,5,1927,/players/M/McCoFr20.htm,Frank McConnell,G
85,0,3/20/1900,1900,2,1921,3,1926,/players/M/McDoJo20.htm,John McDonald,T-G
86,0,11/22/1900,1900,1,1925,1,1925,/players/M/McGoHu20.htm,Hugh McGoldrick,T-E
87,0,4/1/1900,1900,3,1923,28,1925,/players/M/MichAl20.htm,Al Michaels,TB-FB
88,0,1/1/1900,1900,,,,,/players/M/MitcMi00.htm,Michael Mitchell,
89,0,2/27/1900,1900,5,1923,56,1927,/players/M/MullVe20.htm,Vern Mullen,E-HB
90,0,9/5/1900,1900,2,1922,13,1923,/players/M/MurrWi20.htm,Bill Murrah,C-G
91,0,4/27/1900,1900,2,1925,17,1926,/players/N/NewmOb20.htm,Obie Newman,E-TB-WB
92,0,7/29/1900,1900,2,1924,22,1925,/players/N/NoblDa20.htm,Dave Noble,WB
93,0,11/12/1900,1900,2,1924,15,1925,/players/O/OConMi20.htm,Milt O'Connell,E
94,0,7/31/1900,1900,9,1923,92,1931,/players/O/ODonDi20.htm,Dick O'Donnell,E
95,0,11/17/1900,1900,1,1926,3,1926,/players/O/OrwoOs20.htm,Ossie Orwoll,HB
96,0,12/15/1900,1900,2,1923,11,1924,/players/P/PahlLo20.htm,Louie Pahl,WB-FB
97,0,3/24/1900,1900,1,1921,3,1921,/players/P/PattGo20.htm,Gordon Patterson,E
98,0,2/1/1900,1900,3,1924,21,1926,/players/P/PetcBo20.htm,Boni Petcoff,T
99,0,6/20/1900,1900,3,1928,18,1932,/players/P/PlanTo20.htm,Tony Plansky,B
100,0,4/4/1900,1900,1,1923,1,1923,/players/Q/QuasJo20.htm,John Quast,E
101,0,4/10/1900,1900,1,1923,2,1923,/players/R/RandHa20.htm,Harry Randolph,HB
102,0,8/5/1900,1900,3,1926,26,1928,/players/R/RandPr20.htm,Proc Randels,E
