,all star,death date,death year,experience,first year,games,last year,link,name
0,0,1919-04-28,1919,1,1880,1,1880,/players/a/ahearch01.shtml,Bill Ahearn
1,0,1919-07-24,1919,2,1884,48,1885,/players/b/begleed01.shtml,Ed Bagley
2,0,1919-03-24,1919,1,1889,1,1889,/players/b/batesjo01.shtml,John Bates
3,0,1919-10-14,1919,6,1894,527,1899,/players/b/blakeha01.shtml,Harry Blake
4,0,1919-08-21,1919,7,1886,288,1893,/players/c/clarkbo01.shtml,Bob Clark
5,0,1919-12-10,1919,4,1893,53,1899,/players/c/colcoto01.shtml,Tom Colcolough
6,0,1919-01-01,1919,1,1903,5,1903,/players/c/curtige01.shtml,Gene Curtis
7,0,1919-11-14,1919,1,1890,64,1890,/players/d/dailevi01.shtml,Vince Dailey
8,0,1919-02-07,1919,4,1901,348,1907,/players/d/davisle01.shtml,Lefty Davis
9,0,1919-03-06,1919,1,1890,1,1890,/players/d/demarfr01.shtml,Fred Demarais
10,0,1919-03-01,1919,1,1876,21,1876,/players/f/fousebi01.shtml,Bill Fouser
11,0,1919-11-25,1919,2,1914,258,1915,/players/g/gilmogr01.shtml,Grover Gilmore
12,0,1919-04-25,1919,2,1888,82,1890,/players/h/higgibi01.shtml,Bill Higgins
13,0,1919-05-26,1919,8,1879,641,1887,/players/h/houcksa01.shtml,Sadie Houck
14,0,1919-12-27,1919,2,1901,10,1907,/players/h/hurleje02.shtml,Jerry Hurley
15,0,1919-09-08,1919,7,1884,557,1890,/players/k/kerinjo01.shtml,John Kerins
16,0,1919-10-30,1919,1,1908,4,1908,/players/l/lattibi01.shtml,Bill Lattimore
17,0,1919-06-05,1919,2,1906,12,1907,/players/m/mcclojo01.shtml,John McCloskey
18,0,1919-03-01,1919,1,1882,2,1882,/players/m/mccluha01.shtml,Hal McClure
19,0,1919-08-16,1919,13,1887,1655,1899,/players/m/mckeaed01.shtml,Ed McKean
20,0,1919-01-23,1919,1,1891,5,1891,/players/n/neweljo01.shtml,John Newell
21,0,1919-01-08,1919,23,1872,1999,1904,/players/o/o'rouji01.shtml,Jim O'Rourke
22,0,1919-12-04,1919,1,1894,7,1894,/players/p/peitzjo01.shtml,Joe Peitz
23,0,1919-01-03,1919,2,1916,17,1917,/players/r/ricoar01.shtml,Art Rico
24,0,1919-05-16,1919,15,1901,1150,1918,/players/s/schaege01.shtml,Germany Schaefer
25,0,1919-01-03,1919,2,1890,15,1891,/players/s/schelal01.shtml,Al Schellhase
26,0,1919-06-27,1919,4,1902,208,1914,/players/s/schlala01.shtml,Larry Schlafly
27,0,1919-09-20,1919,16,1896,1529,1913,/players/s/seymocy01.shtml,Cy Seymour
28,0,1919-07-09,1919,9,1897,287,1906,/players/s/smithal01.shtml,Aleck Smith
29,0,1919-01-06,1919,9,1890,768,1899,/players/s/stenzja01.shtml,Jake Stenzel
30,0,1919-09-22,1919,1,1909,2,1909,/players/s/sulliha01.shtml,Harry Sullivan
31,0,1919-06-15,1919,1,1884,6,1884,/players/t/tennefr01.shtml,Fred Tenney
32,0,1919-08-11,1919,1,1898,4,1898,/players/t/toddfr01.shtml,Frank Todd
33,0,1919-03-28,1919,4,1886,59,1890,/players/t/toolest01.shtml,Steve Toole
34,0,1919-03-13,1919,2,1887,153,1890,/players/t/toyji01.shtml,Jim Toy
35,0,1919-05-28,1919,1,1909,3,1909,/players/w/wanneja01.shtml,Jack Wanner
36,0,1920-10-11,1920,1,1879,4,1879,/players/a/adamsge01.shtml,George Adams
37,0,1920-06-19,1920,3,1905,12,1907,/players/b/barryed01.shtml,Ed Barry
38,0,1920-12-16,1920,1,1908,19,1908,/players/b/bayledi01.shtml,Dick Bayless
39,0,1920-02-17,1920,2,1910,10,1911,/players/b/boydra01.shtml,Ray Boyd
40,0,1920-03-10,1920,1,1884,49,1884,/players/b/briggch01.shtml,Charlie Briggs
41,0,1920-12-09,1920,12,1901,1102,1912,/players/b/brownge01.shtml,George Browne
42,0,1920-02-05,1920,2,1908,28,1909,/players/c/catteto01.shtml,Tom Catterson
43,0,1920-08-17,1920,9,1912,1051,1920,/players/c/chapmra01.shtml,Ray Chapman
44,0,1920-02-29,1920,6,1902,558,1908,/players/c/courter01.shtml,Ernie Courtney
