,age,all star,birth date,death date,death year,experience,first year,games,last year,link,name,position
0,31,0,3/30/1892,6/6/1923,1923,2,1920,11,1921,/players/L/LaRoPa20.htm,Paul LaRosa,E
1,28,0,12/15/1895,9/9/1924,1924,1,1920,2,1920,/players/G/GepfSi20.htm,Sid Gepford,HB
2,23,0,9/28/1902,11/25/1925,1925,1,1925,1,1925,/players/H/HammCh20.htm,Ching Hammill,BB
3,34,0,8/7/1890,6/7/1925,1925,2,1921,9,1922,/players/W/WaldRa20.htm,Ralph Waldsmith,C-G
4,,0,,11/12/1926,1926,3,1924,22,1926,/players/F/FeisLo20.htm,Lou Feist,E-T-FB
5,26,0,11/11/1900,1/16/1927,1927,1,1924,14,1924,/players/S/StorJa20.htm,Jack Storer,TB
6,29,0,6/27/1897,1/1/1927,1927,5,1920,35,1926,/players/U/UsheLo20.htm,Lou Usher,T-G-C
7,25,0,12/4/1902,6/13/1928,1928,4,1924,30,1927,/players/C/CorgCh20.htm,Chuck Corgan,B-E
8,42,0,2/17/1885,1/8/1928,1928,,,,,/coaches/FolwBo0.htm,Bob Folwell,Coach
9,27,0,11/12/1900,5/18/1928,1928,2,1924,15,1925,/players/O/OConMi20.htm,Milt O'Connell,E
10,30,0,3/25/1898,6/20/1928,1928,3,1921,9,1923,/players/O/ONeiCh20.htm,Chuck O'Neil,E-B
11,32,0,11/7/1895,5/24/1928,1928,1,1920,9,1920,/players/W/WeldBo20.htm,Bodie Weldon,WB-TB
12,27,0,1/17/1902,6/25/1929,1929,1,1926,6,1926,/players/B/BarnPe21.htm,Pete Barnum,B
13,30,0,6/20/1898,1/3/1929,1929,1,1920,1,1920,/players/B/BricSh20.htm,Shirley Brick,E
14,28,0,9/14/1900,6/5/1929,1929,3,1923,20,1925,/players/D/DeClFr20.htm,Frank DeClerk,C
15,30,0,3/18/1899,5/17/1929,1929,6,1923,58,1928,/players/J/JoneBe20.htm,Ben Jones,FB-BB-TB-WB
16,29,0,8/22/1899,1/21/1929,1929,1,1926,10,1926,/players/N/NichRa20.htm,Ralph Nichols,T-G
17,33,0,6/24/1897,10/21/1930,1930,2,1920,2,1922,/players/H/HollTo21.htm,Tom Holleran,BB
18,35,0,2/9/1895,10/16/1930,1930,3,1921,19,1923,/players/K/KingDi20.htm,Dick King,FB-WB-TB-HB
19,30,0,11/10/1899,4/2/1930,1930,1,1926,2,1926,/players/S/SamsSe20.htm,Seneca Samson,HB
20,33,0,6/5/1898,8/23/1931,1931,1,1921,1,1921,/players/K/KaplSa20.htm,Sam Kaplan,E
21,26,0,6/24/1905,11/14/1931,1931,4,1927,52,1930,/players/K/KellWi20.htm,Wild Bill Kelly,B
22,37,0,9/5/1893,1/28/1931,1931,2,1920,10,1922,/players/K/KohlDu20.htm,Dutch Kohl,E
23,55,0,4/25/1876,7/29/1931,1931,1,1921,2,1921,/players/N/NessJo20.htm,John Nesser,G-T
24,31,0,8/6/1899,7/9/1931,1931,2,1923,3,1924,/players/W/WallGo20.htm,Gordon Wallace,TB-FB-C
25,,0,,2/11/1932,1932,1,1930,12,1930,/players/E/ElloBu20.htm,Bud Ellor,G-E
26,,0,,9/22/1932,1932,1,1928,5,1928,/players/J/JackPe21.htm,Pete Jackson,FB-BB-WB
27,30,0,2/16/1902,5/6/1932,1932,1,1927,13,1927,/players/O/OlivBi20.htm,Bill Oliver,G
28,,0,,11/28/1932,1932,1,1930,6,1930,/players/S/ShulJo20.htm,Johnny Shultz,WB-FB
29,29,0,5/15/1903,12/29/1932,1932,4,1921,17,1929,/players/S/SillFr20.htm,Frank Sillin,B
30,,0,,12/15/1932,1932,1,1923,12,1923,/players/U/UndeJo20.htm,John Underwood,G
31,44,0,4/15/1889,6/5/1933,1933,1,1920,7,1920,/players/B/BashMo20.htm,Mose Bashaw,T
32,,0,,1/20/1933,1933,1,1920,3,1920,/players/M/MeyeKl20.htm,Klinks Meyers,BB
33,36,0,12/3/1896,4/13/1933,1933,3,1922,22,1924,/players/M/MillSt20.htm,Stan Mills,FB-HB-E
34,33,0,12/10/1899,7/4/1933,1933,1,1925,1,1925,/players/M/MoraTo20.htm,Tom Moran,BB
35,32,0,8/5/1900,1/17/1933,1933,3,1926,26,1928,/players/R/RandPr20.htm,Proc Randels,E
36,,0,,12/10/1933,1933,1,1930,2,1930,/players/S/SeboSa20.htm,Sam Sebo,FB-WB
37,35,0,11/4/1898,2/23/1934,1934,1,1921,3,1921,/players/C/CrouBi20.htm,Billy Crouch,C
38,41,0,1/24/1893,5/23/1934,1934,1,1920,3,1920,/players/H/HastSa20.htm,Sandy Hastings,B
39,37,0,12/24/1896,7/21/1934,1934,1,1922,3,1922,/players/J/JansWh20.htm,Whitey Jansing,FB
40,31,0,1/24/1903,12/9/1934,1934,1,1925,3,1925,/players/K/KnecBi20.htm,Bill Knecht,T
41,37,0,10/2/1896,4/16/1934,1934,1,1922,3,1922,/players/L/LadsTi20.htm,Tiny Ladson,G
42,54,0,10/3/1881,12/3/1935,1935,,,,,/coaches/BattDi0.htm,Dim Batterson,Coach
43,33,0,7/6/1902,11/19/1935,1935,1,1926,3,1926,/players/G/GolsGe20.htm,Gene Golsen,FB-TB
44,38,0,1/31/1897,7/13/1935,1935,2,1933,16,1934,/players/K/KelsMo20.htm,Mose Kelsch,FB-HB
45,31,0,7/19/1903,3/16/1935,1935,1,1926,8,1926,/players/S/SlouEl20.htm,Elmer Slough,TB-BB-WB
46,44,0,2/23/1891,12/17/1935,1935,1,1922,1,1922,/players/T/ThunBa20.htm,Baptiste Thunder,T
47,47,0,11/10/1888,2/6/1936,1936,1,1921,4,1921,/players/B/BarrJi20.htm,Jim Barron,T
48,32,0,7/20/1904,7/20/1936,1936,1,1927,5,1927,/players/O/OtteLo20.htm,Lowell Otte,E
49,32,0,3/10/1904,4/30/1936,1936,3,1930,26,1932,/players/P/PapeOr20.htm,Oran Pape,B
50,38,0,1/28/1898,5/8/1936,1936,1,1922,5,1922,/players/R/RousTu20.htm,Tubby Roush,WB-G
51,41,0,9/26/1894,8/15/1936,1936,6,1921,67,1927,/players/S/ScotRa20.htm,Ralph Scott,T-G/Coach
52,42,0,12/8/1894,12/31/1936,1936,5,1924,33,1929,/players/U/UndeJa20.htm,Jack Underwood,E-G-C
53,46,0,2/20/1890,9/20/1936,1936,1,1920,7,1920,/players/W/WilsPe20.htm,Perce Wilson,BB
54,45,0,2/7/1892,5/26/1937,1937,4,1920,19,1926,/players/B/BulaWa20.htm,Walt Buland,T-G
55,39,0,8/28/1897,3/25/1937,1937,1,1920,1,1920,/players/D/DucoMo20.htm,Moon Ducote,WB-TB
56,43,0,1/24/1894,3/29/1937,1937,4,1922,21,1926,/players/D/DunnPa22.htm,Pat Dunnigan,T-G-E
57,42,0,2/24/1895,4/4/1937,1937,3,1924,17,1926,/players/H/HogaTo20.htm,Tom Hogan,T-G-C-E
58,40,0,11/27/1896,10/23/1937,1937,1,1929,5,1929,/players/S/SingJo20.htm,John Singleton,TB-WB
59,30,0,8/12/1906,2/15/1937,1937,1,1925,1,1925,/players/T/ThomBi20.htm,Bill Thompson,C
60,,0,,2/19/1937,1937,1,1930,1,1930,/players/T/TrueHa20.htm,Hal Truesdell,T
61,41,0,7/2/1895,6/26/1937,1937,2,1920,11,1921,/players/V/VoigWa20.htm,Walter Voight,G-C-BB
62,35,0,9/10/1901,7/18/1937,1937,8,1926,85,1933,/players/W/WilsMu20.htm,Mule Wilson,WB-HB
63,45,0,7/24/1893,9/22/1938,1938,2,1921,2,1922,/players/G/GormDo20.htm,Doc Gorman,E
64,32,0,1/17/1906,8/6/1938,1938,8,1930,92,1937,/players/G/GranLe20.htm,Len Grant,T
65,,0,,6/2/1938,1938,4,1920,34,1924,/players/J/JoneJe22.htm,Jerry Jones,G
66,,0,,2/12/1938,1938,1,1921,3,1921,/players/L/LitkRe20.htm,Red Litkus,T-E
67,42,0,9/10/1896,11/30/1938,1938,2,1921,9,1922,/players/R/RegnPe20.htm,Pete Regnier,WB-HB
68,39,0,12/25/1898,4/7/1938,1938,1,1924,1,1924,/players/S/SanfJi20.htm,Jim Sanford,T
69,33,0,7/2/1906,8/11/1939,1939,2,1930,24,1931,/players/D/DrurHo20.htm,Hoot Drury,E
70,41,0,5/12/1897,3/3/1939,1939,5,1922,37,1926,/players/L/LittJo22.htm,Joe Little Twig,E-T
71,43,0,6/21/1895,2/18/1939,1939,5,1920,40,1927,/players/L/LoweBu20.htm,Bulger Lowe,E-T
72,52,0,8/16/1886,5/22/1939,1939,1,1921,3,1921,/players/M/McDoCy20.htm,Cy McDonald,G
73,37,0,10/7/1901,5/5/1939,1939,1,1926,6,1926,/players/S/SchwTe20.htm,Ted Schwarzer,G-C
74,30,0,3/10/1909,6/29/1939,1939,1,1925,1,1925,/players/S/SnydJi20.htm,Jim Snyder,TB
75,32,0,5/11/1907,11/13/1939,1939,1,1930,2,1930,/players/S/StotHa20.htm,Hal Stotsbery,T
76,39,0,9/26/1899,9/19/1939,1939,3,1923,27,1925,/players/T/ThomGe21.htm,George Thompson,G-T
77,41,0,2/7/1898,9/20/1939,1939,3,1921,22,1923,/players/W/WheeCo20.htm,Cowboy Wheeler,E
78,42,0,4/30/1897,1/17/1940,1940,4,1921,26,1924,/players/B/BolaGe20.htm,George Bolan,FB
79,52,0,4/17/1887,1/16/1940,1940,3,1924,10,1926,/players/D/DahlGe20.htm,George Dahlgren,G-T
80,35,0,9/7/1904,9/1/1940,1940,2,1926,8,1929,/players/M/McCrEd20.htm,Ed McCrillis,G
81,43,0,5/15/1897,5/22/1940,1940,2,1920,8,1921,/players/M/MurpJo20.htm,Joe Murphy,G
82,49,0,10/17/1890,8/25/1940,1940,2,1920,5,1921,/players/P/PlisJo20.htm,Joe Pliska,BB
83,,0,,11/29/1940,1940,1,1929,1,1929,/players/T/TollEd20.htm,Ed Tolley,G
84,42,0,12/25/1898,4/30/1941,1941,1,1921,1,1921,/players/A/AbraNa20.htm,Nate Abrams,E
85,34,0,10/6/1906,4/11/1941,1941,1,1930,3,1930,/players/B/BleeMa20.htm,Mal Bleecker,G-C
86,42,0,4/12/1898,1/7/1941,1941,3,1921,7,1923,/players/B/BrunAu20.htm,Austin Brunklacher,G
87,42,0,5/19/1899,12/24/1941,1941,5,1925,44,1929,/players/H/HarvNo20.htm,Norm Harvey,T-E-C-G
88,41,0,2/15/1900,3/14/1941,1941,1,1926,9,1926,/players/J/JawiHe20.htm,Heinie Jawish,T-G
89,48,0,8/22/1893,11/17/1941,1941,6,1922,47,1927,/players/K/KendJi20.htm,Jim Kendrick,B-E/Coach
90,48,0,12/15/1892,2/23/1941,1941,6,1920,39,1927,/players/K/KollLo20.htm,Louie Kolls,C
91,40,0,1/7/1901,11/18/1941,1941,2,1925,12,1926,/players/M/McRoWa20.htm,Wade McRoberts,C
92,58,0,4/5/1883,6/7/1941,1941,2,1920,14,1921,/players/N/NessTe20.htm,Ted Nesser,C-T-G/Coach
93,31,0,11/22/1909,6/7/1941,1941,1,1935,3,1935,/players/P/PittAl20.htm,Alabama Pitts,HB
94,45,0,9/30/1895,8/10/1941,1941,,,,,/players/S/ShupWa00.htm,Walt Shupp,
95,29,0,6/16/1911,2/23/1941,1941,4,1933,42,1937,/players/S/SmitBe20.htm,Ben Smith,E-BB-DE
96,33,0,12/4/1908,12/24/1941,1941,1,1933,8,1933,/players/Y/YarrTo20.htm,Tommy Yarr,C
97,40,0,7/30/1901,5/18/1942,1942,3,1924,19,1927,/players/B/BerqJa20.htm,Joy Berquist,G
98,48,0,8/22/1893,8/3/1942,1942,1,1922,3,1922,/players/B/BigbLy20.htm,Lyle Bigbee,E
99,38,0,5/1/1904,12/23/1942,1942,5,1930,48,1934,/players/C/CaglCh20.htm,Chris Cagle,B
100,46,0,11/30/1895,7/1/1942,1942,4,1922,22,1925,/players/C/ConrMa20.htm,Marty Conrad,C-G-E
101,37,0,9/7/1904,7/18/1942,1942,3,1927,18,1930,/players/D/DeWeEb20.htm,Ebby DeWeese,G-BB
102,46,0,4/21/1896,7/17/1942,1942,1,1921,4,1921,/players/D/DoheMe20.htm,Mel Doherty,C
103,44,0,8/17/1898,11/8/1942,1942,2,1924,19,1925,/players/D/DoylEd21.htm,Eddie Doyle,E
104,50,0,8/21/1891,5/6/1942,1942,2,1920,11,1921,/players/F/FitzFr21.htm,Freeman Fitzgerald,C-G
105,50,0,4/2/1892,12/28/1942,1942,1,1922,6,1922,/players/H/HillBo20.htm,Bob Hill,G
106,25,0,11/7/1917,11/16/1942,1942,1,1939,2,1939,/players/L/LencGe20.htm,George Lenc,E
107,48,0,2/2/1894,2/12/1942,1942,1,1925,2,1925,/players/M/MackRo20.htm,Roy Mackert,T
108,44,0,2/6/1898,4/19/1942,1942,2,1923,7,1926,/players/M/McCaBi20.htm,Bill McCaw,G-E
109,,0,,12/11/1942,1942,1,1927,2,1927,/players/M/McNeBi20.htm,Bill McNelis,WB
110,39,0,10/27/1902,3/14/1942,1942,2,1926,12,1927,/players/O/OConGr20.htm,Grat O'Connell,E
111,28,0,8/4/1914,10/21/1942,1942,1,1939,7,1939,/players/R/RatiJo20.htm,Joe Ratica,C-LB
112,46,0,1/24/1896,8/23/1942,1942,3,1921,9,1923,/players/R/RislEl20.htm,Elliott Risley,T
113,45,0,8/7/1897,10/27/1942,1942,,,,,/coaches/SachLe0.htm,Lenny Sachs,Coach
114,47,0,8/1/1894,4/11/1942,1942,2,1920,5,1921,/players/W/WerdRe20.htm,Red Werder,C-T
115,33,0,10/7/1909,5/17/1943,1943,1,1935,6,1935,/players/B/BensHa20.htm,Harry Benson,G
116,28,0,5/4/1915,5/7/1943,1943,1,1939,9,1939,/players/B/BirlKe20.htm,Keith Birlem,B-E
117,33,0,8/17/1909,1/26/1943,1943,1,1934,1,1934,/players/B/BoylKn20.htm,Knuckles Boyle,T
118,52,0,6/8/1891,10/14/1943,1943,7,1920,47,1926,/players/G/GaviBu20.htm,Buck Gavin,B
119,45,0,3/29/1898,5/11/1943,1943,3,1922,27,1924,/players/L/LaFlJo20.htm,Joe LaFleur,G-FB-C-HB
120,44,0,2/22/1899,9/25/1943,1943,1,1922,1,1922,/players/M/MacCMa20.htm,Max MacCollum,E
121,47,0,2/14/1896,11/8/1943,1943,3,1923,31,1926,/players/M/McNaTo20.htm,Tom McNamara,G-FB
122,50,0,2/17/1893,5/27/1943,1943,1,1920,4,1920,/players/M/MellDu20.htm,Dutch Mellody,WB-C
123,41,0,12/11/1901,6/13/1943,1943,1,1926,3,1926,/players/N/NairRa20.htm,Ralph Nairan,E-WB
124,51,0,3/4/1892,6/27/1943,1943,1,1921,1,1921,/players/N/NewlHa20.htm,Harry Newland,E
125,36,0,3/28/1907,11/3/1943,1943,4,1932,15,1935,/players/R/RibbDa20.htm,Dave Ribble,G-T
126,24,1,8/26/1918,1/17/1943,1943,2,1941,18,1942,/players/S/SimiMi20.htm,Milt Simington,G
127,22,0,12/15/1920,8/31/1943,1943,1,1942,9,1942,/players/S/SupuLe20.htm,Len Supulski,E
128,26,0,10/14/1916,6/23/1943,1943,1,1941,11,1941,/players/W/WempDo20.htm,Don Wemple,E
