,age,birth date,death date,death season,first year,games,last year,link,name,position
0,37,1881-05-03,1919-04-05,1919,1918,37,1919,/players/h/halljo01.html,Joe Hall,D
1,32,1886-02-12,1918-10-13,1919,1918,18,1918,/players/s/shoreha01.html,Hamby Shore,D/LW
2,33,1890-12-04,1924-06-28,1924,1918,121,1924,/players/d/darraja01.html,Jack Darragh,RW
3,39,1887-01-21,1926-03-27,1926,1918,190,1926,/players/v/vezinge01.html,Georges Vezina,G
4,25,1904-06-27,1929-07-31,1929,1926,54,1929,/players/h/hornege01.html,George Horne,RW
5,29,1900-08-09,1930-06-29,1930,1920,21,1920,/players/b/brophfr01.html,Frank Brophy,G
6,27,1904-02-14,1931-06-09,1931,1924,11,1924,/players/b/bouchbo01.html,Bobby Boucher,C
7,26,1904-10-19,1931-07-27,1931,1927,78,1930,/players/c/connobo01.html,Bob Connors,LW/D
8,32,1900-02-21,1932-11-14,1933,1925,12,1925,/players/c/cotchch01.html,Charlie Cotch,LW
9,29,1904-12-31,1934-06-13,1934,1928,316,1934,/players/g/gardich01.html,Charlie Gardiner,G
10,24,1910-01-01,1934-08-07,1934,1934,37,1934,/players/l/leswija01.html,Jack Leswick,C
11,50,1883-09-01,1934-07-29,1934,1918,127,1923,/players/p/pitredi01.html,Didier Pitre,RW/D
12,52,1881-05-29,1933-11-25,1934,1918,1,1918,/players/t/thompke01.html,Ken Thompson,LW/C
13,38,1896-07-26,1935-01-31,1935,1926,210,1931,/players/s/smithro01.html,Rodger Smith,D
14,30,1905-09-12,1936-06-20,1936,1928,110,1932,/players/m/milleea01.html,Earl Miller,LW
15,44,1891-02-18,1935-10-25,1936,1920,111,1925,/players/p/prodggo01.html,Goldie Prodgers,F/D
16,34,1902-09-21,1937-03-08,1937,1924,550,1937,/players/m/morenho01.html,Howie Morenz,C
17,48,1889-02-09,1937-06-25,1937,1919,11,1919,/players/r/ronansk01.html,Skene Ronan,D/C
18,47,1890-02-22,1937-12-07,1938,1918,128,1923,/players/g/gerared01.html,Eddie Gerard,LW/D
19,42,1897-06-03,1939-08-01,1939,1925,14,1925,/players/c/carroge01.html,George Carroll,D
20,46,1892-01-12,1938-12-21,1939,1920,19,1920,/players/h/heffefr01.html,Frank Heffernan,D
