,height,link,weight
0,6-4,/players/a/ackerto01.shtml,215lb
1,5-7,/players/a/amorosa01.shtml,170lb
2,6-1,/players/a/antonjo02.shtml,185lb
3,5-10,/players/b/baxesmi01.shtml,175lb
4,6-1,/players/b/belarwa01.shtml,185lb
5,5-11,/players/b/bellaze01.shtml,185lb
6,6-3,/players/b/besanfr01.shtml,200lb
7,6-2,/players/b/bevanha01.shtml,198lb
8,6-1,/players/b/bollimi01.shtml,177lb
9,6-2,/players/b/burnspe01.shtml,180lb
10,6-0,/players/c/ceccaar01.shtml,190lb
11,6-3,/players/c/churnch01.shtml,205lb
12,6-2,/players/c/coleda01.shtml,175lb
13,6-8,/players/c/conlege01.shtml,225lb
14,6-1,/players/c/coogada02.shtml,190lb
15,6-4,/players/c/craigro01.shtml,190lb
16,6-1,/players/c/crandde01.shtml,180lb
17,6-0,/players/d/daleype01.shtml,195lb
18,5-10,/players/d/darnebo01.shtml,175lb
19,6-0,/players/d/drakeso01.shtml,170lb
20,6-1,/players/e/ernagfr01.shtml,195lb
21,6-0,/players/f/fischbi01.shtml,190lb
22,5-11,/players/f/foytapa01.shtml,175lb
23,6-4,/players/f/freemma01.shtml,220lb
24,6-0,/players/f/frienbo01.shtml,190lb
25,6-0,/players/f/froatbi01.shtml,180lb
26,6-1,/players/g/gablega01.shtml,190lb
27,6-2,/players/g/gablega02.shtml,165lb
28,6-2,/players/g/gorbogl01.shtml,175lb
29,5-11,/players/g/grabero01.shtml,175lb
30,5-7,/players/g/graffmi01.shtml,158lb
31,6-1,/players/g/grimbo01.shtml,175lb
32,5-11,/players/g/groatdi01.shtml,180lb
33,6-0,/players/g/grossha01.shtml,170lb
34,6-4,/players/g/grunwal01.shtml,210lb
35,6-6,/players/h/halldi01.shtml,200lb
36,5-8,/players/h/harribi03.shtml,187lb
37,5-11,/players/h/harribo02.shtml,178lb
38,6-0,/players/h/hazlebo01.shtml,190lb
39,6-1,/players/h/heiseji01.shtml,185lb
