,height,link,weight
0,6-2,/players/A/AtkeDa00.htm,211lb
1,6-8,/players/A/AtkiDo00.htm,257lb
2,6-2,/players/B/BabcHa00.htm,193lb
3,5-10,/players/B/BahnKe00.htm,200lb
4,5-10,/players/B/BailBy00.htm,192lb
5,6-2,/players/B/BarrAl21.htm,238lb
6,5-11,/players/B/BartDo00.htm,175lb
7,6-1,/players/B/BaweBi00.htm,185lb
8,6-3,/players/B/BennFr00.htm,195lb
9,6-3,/players/B/BighJa00.htm,215lb
10,6-0,/players/B/BoerCh20.htm,205lb
11,6-3,/players/B/BoggRe20.htm,245lb
12,6-0,/players/B/BravAl20.htm,190lb
13,6-3,/players/B/BrewPe00.htm,210lb
14,6-0,/players/B/BrooBu21.htm,210lb
15,5-8,/players/B/BrowMa23.htm,150lb
16,6-2,/players/B/BrowPe20.htm,210lb
17,6-1,/players/B/BukiRu00.htm,195lb
18,6-2,/players/C/CampJo20.htm,242lb
19,6-0,/players/C/CampSt20.htm,226lb
20,6-5,/players/C/CareBo20.htm,219lb
21,6-3,/players/C/CarsJo00.htm,202lb
22,6-2,/players/C/CasnKe20.htm,245lb
23,5-11,/players/C/ChicNi20.htm,220lb
24,6-3,/players/C/ClarHe20.htm,256lb
25,6-1,/players/C/CritJa20.htm,190lb
26,5-11,/players/D/DawsGi20.htm,190lb
27,6-1,/players/D/DillBo00.htm,180lb
28,5-9,/players/D/DonaGe20.htm,215lb
29,6-4,/players/D/DoolJi00.htm,198lb
30,6-0,/players/D/DoylDi20.htm,193lb
31,6-2,/players/D/DublTo00.htm,212lb
32,6-0,/players/E/EggeDo20.htm,213lb
33,5-11,/players/E/EtchSa00.htm,190lb
34,6-7,/players/F/FeamTo20.htm,260lb
35,6-2,/players/F/FergHo00.htm,218lb
36,6-2,/players/F/FlowBe20.htm,190lb
37,6-0,/players/F/FlowKe20.htm,211lb
38,6-1,/players/F/FortJo00.htm,225lb
39,6-4,/players/F/FryxBo20.htm,235lb
40,6-1,/players/G/GiffFr00.htm,197lb
41,6-2,/players/G/GilbKl00.htm,233lb
42,6-2,/players/G/GlicGa20.htm,195lb
43,6-2,/players/H/HannDa00.htm,257lb
44,6-3,/players/H/HatlJo20.htm,249lb
45,6-0,/players/H/HeinDo00.htm,182lb
46,6-2,/players/H/HiggTo20.htm,230lb
47,6-5,/players/H/HoffJa20.htm,234lb
48,6-3,/players/H/HoltGl20.htm,250lb
49,6-1,/players/H/HornDi20.htm,195lb
50,5-11,/players/H/HorrBi20.htm,222lb
51,6-2,/players/H/HowtBi00.htm,191lb
52,6-4,/players/H/HudsBo20.htm,225lb
53,6-3,/players/I/IrviWi20.htm,203lb
54,5-9,/players/J/JanoVi20.htm,187lb
55,6-2,/players/J/JenkWa20.htm,223lb
56,6-1,/players/J/JoynL.20.htm,187lb
57,6-0,/players/K/KariCa20.htm,188lb
58,6-2,/players/K/KellBo20.htm,232lb
59,5-11,/players/K/KerkGa20.htm,185lb
60,5-11,/players/K/KincJi20.htm,180lb
61,5-10,/players/K/KlosDo20.htm,180lb
62,6-4,/players/L/LangBo20.htm,230lb
63,6-3,/players/L/LansJi20.htm,235lb
64,5-11,/players/L/LaryYa00.htm,185lb
65,5-11,/players/L/LaurHa20.htm,175lb
66,5-9,/players/L/LeBaEd00.htm,168lb
67,5-10,/players/L/LesaJi20.htm,176lb
68,6-3,/players/L/LiviCl20.htm,218lb
69,6-2,/players/L/LogaDi20.htm,228lb
70,6-5,/players/L/LuftDo20.htm,220lb
71,6-2,/players/M/MaceJo20.htm,230lb
72,6-4,/players/M/MassCa00.htm,221lb
73,6-2,/players/M/MatsOl00.htm,220lb
74,6-0,/players/M/MayeCa20.htm,190lb
75,6-2,/players/M/McClWi20.htm,250lb
76,6-4,/players/M/McCoBi20.htm,230lb
77,6-0,/players/M/McCoDe20.htm,190lb
78,6-4,/players/M/McCoMi00.htm,246lb
79,5-11,/players/M/McCoTo21.htm,185lb
80,6-0,/players/M/McFaMa21.htm,223lb
81,6-2,/players/M/MeilSt00.htm,227lb
82,6-2,/players/M/MeyeBo20.htm,184lb
83,6-2,/players/M/MichAr00.htm,229lb
84,6-4,/players/M/MillHa20.htm,230lb
85,6-2,/players/M/MillPa00.htm,226lb
86,6-1,/players/M/MitcHa20.htm,225lb
87,6-0,/players/M/MorgBo20.htm,235lb
88,6-1,/players/M/MossJo20.htm,221lb
89,6-1,/players/M/MutsJi00.htm,205lb
90,6-0,/players/N/NippMa20.htm,219lb
91,5-11,/players/O/OConTo00.htm,187lb
92,6-1,/players/O/ODonPa20.htm,215lb
93,5-11,/players/O/OlszJo00.htm,200lb
94,6-1,/players/O/OstrCh20.htm,232lb
95,6-6,/players/P/PanfKe00.htm,262lb
96,6-1,/players/P/PariBa00.htm,196lb
97,6-4,/players/P/PerrGe21.htm,237lb
98,5-9,/players/P/PlanJe20.htm,175lb
99,5-10,/players/P/PopaEl20.htm,202lb
100,5-10,/players/R/RaifJi20.htm,235lb
101,6-1,/players/R/RechBe00.htm,209lb
102,5-11,/players/R/ReicBi20.htm,210lb
103,6-2,/players/R/RichJe01.htm,261lb
104,6-3,/players/R/RichLe00.htm,238lb
105,6-1,/players/R/RobiFr21.htm,242lb
106,6-2,/players/R/RobiWa00.htm,225lb
107,6-1,/players/R/RoffBi20.htm,200lb
108,5-11,/players/R/RossGe21.htm,177lb
109,6-5,/players/S/SaidTo20.htm,261lb
110,6-2,/players/S/ScarJa20.htm,206lb
111,6-2,/players/S/ScotTo00.htm,218lb
112,5-10,/players/S/ScudJo00.htm,173lb
113,6-5,/players/S/ShipBi20.htm,275lb
114,5-11,/players/S/ShulDo20.htm,190lb
115,6-3,/players/S/SmitEr24.htm,190lb
116,6-1,/players/S/SmitJe25.htm,230lb
117,6-5,/players/S/SnydLu00.htm,228lb
118,6-0,/players/S/SpinJa20.htm,236lb
119,6-0,/players/S/StepRe20.htm,230lb
120,6-4,/players/S/SummPa20.htm,228lb
121,6-1,/players/S/SumnCh20.htm,194lb
122,6-0,/players/S/SvarHa20.htm,214lb
123,6-4,/players/T/TaraGe20.htm,245lb
124,6-2,/players/T/TepeLo20.htm,208lb
125,5-11,/players/T/ThroWi20.htm,182lb
126,5-9,/players/T/TidwBi20.htm,178lb
127,6-2,/players/T/ToneBo00.htm,260lb
128,6-1,/players/T/TopoTe20.htm,210lb
129,6-2,/players/W/WadeBi00.htm,202lb
130,6-1,/players/W/WalkVa20.htm,179lb
131,6-3,/players/W/WatfJe20.htm,205lb
132,6-1,/players/W/WebeCh21.htm,229lb
133,6-1,/players/W/WillBo20.htm,197lb
134,5-11,/players/Y/YounDi20.htm,210lb
135,6-1,/players/A/AldeJo20.htm,200lb
136,6-2,/players/A/AnexCh00.htm,260lb
137,6-3,/players/B/BarkEd00.htm,196lb
138,6-1,/players/B/BarnLa20.htm,228lb
139,6-1,/players/B/BassMo00.htm,230lb
140,6-2,/players/B/BeckRa20.htm,224lb
141,6-1,/players/B/BellEd21.htm,212lb
142,6-0,/players/B/BerrWa00.htm,175lb
143,6-4,/players/B/BishBi00.htm,248lb
144,6-2,/players/B/BowmBi00.htm,215lb
145,5-9,/players/B/BranGe20.htm,177lb
146,6-2,/players/B/BratZe00.htm,210lb
147,6-1,/players/B/BretCa20.htm,223lb
148,6-1,/players/B/BretMo20.htm,178lb
149,6-0,/players/B/BrooTo00.htm,196lb
150,6-2,/players/B/BrumJa20.htm,215lb
151,6-3,/players/B/BrunDe20.htm,210lb
152,5-10,/players/B/BrunFr00.htm,184lb
153,5-10,/players/B/BurlAl20.htm,185lb
154,6-4,/players/B/BurrDo20.htm,190lb
155,6-0,/players/C/CarlHa20.htm,195lb
156,6-0,/players/C/CarrPa20.htm,205lb
157,6-1,/players/C/CarrRu20.htm,235lb
158,5-11,/players/C/CartWi20.htm,198lb
159,6-2,/players/C/CasaRi00.htm,226lb
160,6-1,/players/C/CatlTo20.htm,213lb
161,6-3,/players/C/ChriEr20.htm,235lb
162,6-2,/players/C/ColtLl20.htm,220lb
163,6-3,/players/C/ConnTe00.htm,240lb
164,6-4,/players/C/CrosBo20.htm,240lb
165,6-3,/players/C/CunnLe20.htm,215lb
166,6-1,/players/C/CurcTo20.htm,200lb
167,6-1,/players/D/DaviCo00.htm,182lb
168,6-2,/players/D/DeCaAr00.htm,196lb
169,6-5,/players/D/DekkPa20.htm,220lb
170,6-6,/players/D/DimmTo20.htm,253lb
171,6-3,/players/D/DougEv20.htm,240lb
172,6-1,/players/D/DuncMa20.htm,185lb
173,6-1,/players/E/ElleJa20.htm,225lb
174,6-2,/players/F/FanuLe20.htm,225lb
175,6-0,/players/F/FignGe20.htm,185lb
176,5-11,/players/F/FiliGe20.htm,185lb
177,6-0,/players/F/FissGa00.htm,227lb
178,6-0,/players/F/FordHe20.htm,180lb
179,6-0,/players/F/ForeHe20.htm,230lb
180,6-2,/players/F/FuglDi20.htm,238lb
181,5-10,/players/F/FullEd21.htm,190lb
182,6-3,/players/G/GaonBo20.htm,243lb
183,6-3,/players/G/GreeJi00.htm,215lb
184,6-1,/players/H/HantBo20.htm,230lb
185,5-11,/players/H/HeapJo20.htm,185lb
186,6-4,/players/H/HegaBi20.htm,240lb
187,6-2,/players/H/HodeMe20.htm,205lb
188,6-4,/players/H/HoglDo20.htm,245lb
189,6-2,/players/H/HusmEd00.htm,245lb
190,6-0,/players/J/JagiHa20.htm,257lb
191,6-2,/players/J/JechRa20.htm,235lb
192,5-7,/players/J/JetePe20.htm,178lb
193,6-0,/players/J/JohnDo21.htm,187lb
194,6-2,/players/J/JohnTo21.htm,230lb
195,6-1,/players/J/JoneSt01.htm,252lb
196,6-5,/players/J/JoneTo21.htm,255lb
197,6-9,/players/K/KatcJo20.htm,290lb
198,6-0,/players/L/LaacGa20.htm,230lb
199,6-1,/players/L/LaugBu20.htm,200lb
200,6-0,/players/L/LedyHa20.htm,185lb
201,6-4,/players/L/LeexHe20.htm,244lb
202,6-6,/players/L/LipsGe00.htm,284lb
203,6-4,/players/L/LittJa20.htm,235lb
204,6-1,/players/L/LongBu20.htm,195lb
205,6-3,/players/L/LuckBi20.htm,250lb
206,6-0,/players/M/MangPe20.htm,219lb
207,5-10,/players/M/MarcTe20.htm,178lb
208,6-3,/players/M/MatuMa00.htm,232lb
209,6-1,/players/M/MavrMe20.htm,235lb
210,6-4,/players/M/McClJa00.htm,213lb
211,6-3,/players/M/McMiCh20.htm,175lb
212,6-0,/players/M/McNaBo20.htm,190lb
213,6-3,/players/M/McPhFr20.htm,195lb
214,5-11,/players/M/MichJo20.htm,200lb
215,6-0,/players/M/MileLe20.htm,200lb
216,6-3,/players/M/MillFr20.htm,225lb
217,5-10,/players/M/MiodEd20.htm,185lb
218,6-0,/players/M/ModzDi00.htm,250lb
219,6-2,/players/M/MorrGe21.htm,220lb
220,6-0,/players/M/MorrJa20.htm,189lb
221,6-2,/players/M/MoslHe20.htm,210lb
222,5-11,/players/N/NorrHa20.htm,194lb
223,5-11,/players/N/NortJe00.htm,195lb
224,6-4,/players/N/NuttBu00.htm,230lb
225,5-10,/players/O/OaklCh20.htm,170lb
226,6-1,/players/O/ONeiBo20.htm,229lb
227,6-1,/players/P/PerrLo20.htm,190lb
228,5-11,/players/P/PetiJo20.htm,186lb
229,6-1,/players/P/PeviBo20.htm,210lb
230,6-1,/players/P/PoloGo20.htm,219lb
231,6-2,/players/P/PriaBi20.htm,220lb
232,6-1,/players/R/RamoJo20.htm,210lb
233,6-0,/players/R/RegeJo00.htm,225lb
234,6-1,/players/R/RetzPe00.htm,211lb
235,5-11,/players/R/ReynBi00.htm,195lb
236,6-1,/players/R/RingJi00.htm,232lb
237,6-2,/players/R/RobiGe21.htm,215lb
238,6-0,/players/R/RoggTo20.htm,235lb
239,6-1,/players/R/RootJi20.htm,185lb
240,6-3,/players/R/RuckLe20.htm,212lb
241,6-2,/players/R/RushCl20.htm,197lb
242,5-11,/players/S/SearJi20.htm,183lb
243,6-1,/players/S/SeweHa00.htm,230lb
244,6-2,/players/S/SpenOl20.htm,245lb
245,6-9,/players/S/St.CBo00.htm,263lb
246,6-4,/players/S/StitBi00.htm,194lb
247,6-2,/players/S/StolTo20.htm,210lb
248,6-1,/players/S/StonAv20.htm,195lb
249,6-0,/players/S/StriDa20.htm,220lb
250,6-4,/players/S/StriLa00.htm,248lb
251,5-11,/players/S/SumiDa20.htm,230lb
252,5-10,/players/T/TharCo20.htm,180lb
253,6-1,/players/T/TripMe00.htm,215lb
254,6-0,/players/V/VessBi20.htm,190lb
255,6-3,/players/W/WallSt20.htm,208lb
256,5-11,/players/W/WeavLa20.htm,190lb
257,6-3,/players/W/WebsAl00.htm,225lb
258,5-9,/players/W/WellBi00.htm,180lb
259,6-5,/players/W/WillSa20.htm,235lb
260,5-8,/players/W/WoitRi20.htm,175lb
261,6-0,/players/W/WombRo00.htm,185lb
262,5-10,/players/W/WordNe20.htm,198lb
263,6-3,/players/Y/YounSi20.htm,257lb
264,6-2,/players/Z/ZatkRo00.htm,216lb
265,5-11,/players/A/AmunNo20.htm,245lb
266,6-1,/players/A/AtkiGe21.htm,210lb
267,6-3,/players/B/BaueJo20.htm,235lb
268,6-3,/players/B/BeatEd20.htm,229lb
269,6-1,/players/B/BielDi00.htm,224lb
270,5-8,/players/B/BoldLe20.htm,170lb
271,5-11,/players/B/BookBi20.htm,180lb
272,6-0,/players/B/BordNa20.htm,234lb
273,6-0,/players/B/BortJo20.htm,208lb
274,6-2,/players/B/BoydMa00.htm,210lb
275,6-4,/players/B/BraaOr00.htm,245lb
276,6-2,/players/B/BracCh20.htm,202lb
277,6-1,/players/B/BredBi20.htm,195lb
278,6-3,/players/B/BrowRo04.htm,255lb
279,6-0,/players/B/BrubDi00.htm,202lb
280,6-2,/players/B/BurnHa20.htm,188lb
281,6-0,/players/C/CamePa20.htm,185lb
282,6-0,/players/C/CapuJi20.htm,190lb
283,6-1,/players/C/CarpLe00.htm,220lb
284,6-4,/players/C/ChorDi20.htm,260lb
285,6-3,/players/C/ClatBo00.htm,195lb
286,6-1,/players/C/CompOg20.htm,180lb
287,6-2,/players/C/CookEd20.htm,245lb
288,6-3,/players/C/CookGe20.htm,215lb
289,6-0,/players/C/CostVi20.htm,230lb
290,6-7,/players/C/CrowAl20.htm,260lb
291,6-2,/players/C/CudzWa20.htm,231lb
292,6-0,/players/D/DaviJa21.htm,225lb
293,6-0,/players/D/DayxEa00.htm,183lb
294,6-0,/players/D/DescDi20.htm,206lb
295,6-3,/players/D/DeskDo20.htm,240lb
296,6-1,/players/D/DougBo20.htm,240lb
297,5-11,/players/D/DuprL.00.htm,190lb
298,5-9,/players/E/EppsBo20.htm,198lb
299,5-11,/players/F/FeltRa20.htm,210lb
300,6-0,/players/F/FerrOr20.htm,230lb
301,6-3,/players/F/ForeBi00.htm,237lb
302,6-0,/players/F/FourSi20.htm,235lb
303,6-1,/players/F/FreeBo20.htm,202lb
304,6-0,/players/F/FureJi20.htm,228lb
305,6-1,/players/G/GarrBo20.htm,198lb
306,5-11,/players/G/GedmGe20.htm,195lb
