,Unnamed: 0,all star,birth date,birth year,experience,first year,games,last year,link,name,position,age,death date,death year
0,0.0,0.0,11/13/1900,1900.0,4.0,1922.0,43.0,1925.0,/players/A/AndeEd20.htm,Eddie Anderson,E,73.0,4/26/1974,1974.0
1,1.0,0.0,7/12/1900,1900.0,1.0,1926.0,2.0,1926.0,/players/A/AshxJu20.htm,Juddy Ash,G,65.0,10/30/1965,1965.0
2,2.0,0.0,7/10/1900,1900.0,2.0,1924.0,3.0,1925.0,/players/A/AultCh20.htm,Chalmer Ault,T,78.0,5/18/1979,1979.0
3,3.0,0.0,12/9/1900,1900.0,1.0,1926.0,8.0,1926.0,/players/B/BabcSa20.htm,Sam Babcock,WB-FB-BB,59.0,5/1/1960,1960.0
4,4.0,0.0,11/4/1900,1900.0,5.0,1927.0,50.0,1931.0,/players/B/BakeBu20.htm,Bullet Baker,BB-WB-TB-HB,60.0,6/18/1961,1961.0
5,5.0,0.0,10/29/1900,1900.0,5.0,1923.0,41.0,1927.0,/players/B/BasiMy20.htm,Myrt Basing,B,56.0,4/29/1957,1957.0
6,6.0,0.0,8/4/1900,1900.0,1.0,1922.0,4.0,1922.0,/players/B/BaumBu20.htm,Buddy Baumann,T-G,50.0,4/27/1951,1951.0
7,7.0,0.0,10/24/1900,1900.0,1.0,1923.0,5.0,1923.0,/players/B/BeasJo20.htm,John Beasley,G,78.0,11/2/1978,1978.0
8,8.0,0.0,2/6/1900,1900.0,1.0,1920.0,3.0,1920.0,/players/B/BeckJo22.htm,John Beckwith,HB,74.0,12/31/1974,1974.0
9,9.0,0.0,1/2/1900,1900.0,4.0,1921.0,11.0,1926.0,/players/B/BeckMa20.htm,Marty Beck,B,68.0,6/15/1968,1968.0
10,10.0,0.0,1/15/1900,1900.0,7.0,1924.0,90.0,1931.0,/players/B/BehmBu20.htm,Bull Behman,T-G/Coach,50.0,3/24/1950,1950.0
11,11.0,0.0,12/5/1900,1900.0,1.0,1925.0,1.0,1925.0,/players/B/BeldLe20.htm,Les Belding,E-B,,,
12,12.0,0.0,2/18/1900,1900.0,5.0,1922.0,35.0,1926.0,/players/B/BerrGe20.htm,George Berry,G-T-C,86.0,2/25/1986,1986.0
13,13.0,0.0,3/24/1900,1900.0,2.0,1926.0,13.0,1927.0,/players/B/BiggRi20.htm,Riley Biggs,C,71.0,11/24/1971,1971.0
14,14.0,0.0,3/7/1900,1900.0,7.0,1925.0,59.0,1933.0,/players/B/BlumHe20.htm,Herb Blumer,E-G-T,87.0,4/13/1987,1987.0
15,15.0,0.0,9/18/1900,1900.0,1.0,1926.0,4.0,1926.0,/players/B/BoetCh20.htm,Champ Boettcher,B,65.0,12/20/1965,1965.0
