,Unnamed: 0,birth date,birth year,death date,first year,games,last year,link,name,position,death year,age
0,0,July 17,1879,"January 9, 1960",1918,18.0,1918,/players/l/lavioja01.html,Jack Laviolette,LW,1960.0,80.0
1,1,May 3,1881,"April 5, 1919",1918,37.0,1919,/players/h/halljo01.html,Joe Hall,D,1919.0,37.0
2,2,July 23,1881,"November 11, 1960",1918,20.0,1919,/players/l/lindsbe01.html,Bert Lindsay,G,1960.0,79.0
3,3,May 29,1881,"November 25, 1933",1918,1.0,1918,/players/t/thompke01.html,Ken Thompson,F,1933.0,52.0
4,4,December 31,1883,"June 1, 1960",1927,1.0,1927,/players/p/patrile01.html,Lester Patrick,D,1960.0,76.0
5,5,September 1,1883,"July 29, 1934",1918,127.0,1923,/players/p/pitredi01.html,Didier Pitre,RW,1934.0,50.0
6,6,November 7,1885,"December 19, 1971",1918,38.0,1919,/players/c/crawfru01.html,Rusty Crawford,LW/RW,1971.0,86.0
7,7,October 27,1885,"April 12, 1961",1927,48.0,1928,/players/l/lehmahu01.html,Hugh Lehman,G,1961.0,75.0
8,8,June 11,1885,"August 20, 1945",1918,7.0,1920,/players/m/marksja01.html,Jack Marks,F/LW,1945.0,60.0
9,9,November 30,1885,"December 24, 1958",1918,9.0,1920,/players/m/merriho01.html,Horace Merrill,D,1958.0,73.0
10,10,August 19,1885,,1925,4.0,1925,/players/r/rowebo01.html,Bobby Rowe,D,,
11,11,January 13,1886,"August 5, 1964",1918,3.0,1918,/players/r/rossar01.html,Art Ross,D,1964.0,78.0
12,12,February 12,1886,"October 13, 1918",1918,18.0,1918,/players/s/shoreha01.html,Hamby Shore,LW/D,1918.0,32.0
13,13,September 27,1886,"August 1, 1966",1920,10.0,1920,/players/s/smithto01.html,Tommy Smith,C,1966.0,79.0
14,14,May 26,1887,"June 1, 1959",1918,193.0,1926,/players/b/berlilo01.html,Louis Berlinguette,LW,1959.0,72.0
15,15,August 15,1887,,1919,2.0,1919,/players/d/doherfr01.html,Fred Doherty,F,,
16,16,October 31,1887,"November 21, 1970",1918,99.0,1927,/players/l/lalonne01.html,Newsy Lalonde,C,1970.0,83.0
17,17,February 28,1887,"January 24, 1958",1918,70.0,1922,/players/m/mcdonja01.html,Jack McDonald,C/LW,1958.0,70.0
18,18,December 12,1887,,1918,1.0,1918,/players/p/payerev01.html,Evariste Payer,F,,
19,19,January 21,1887,"March 27, 1926",1918,190.0,1926,/players/v/vezinge01.html,Georges Vezina,G,1926.0,39.0
20,20,February 21,1888,"June 27, 1941",1918,103.0,1928,/players/h/holmeha01.html,Hap Holmes,G,1941.0,53.0
21,21,December 14,1888,"June 17, 1947",1918,219.0,1927,/players/r/randake01.html,Ken Randall,D/D/RW/RW/D,1947.0,58.0
22,22,June 3,1888,"May 13, 1959",1920,12.0,1920,/players/s/smithdo01.html,Don Smith,C,1959.0,70.0
23,23,November 29,1888,"February 16, 1950",1927,84.0,1928,/players/w/walkeja01.html,Jack Walker,C,1950.0,61.0
24,24,February 4,1889,,1918,4.0,1918,/players/b/brookar01.html,Art Brooks,G,,
25,25,January 2,1889,"August 8, 1969",1918,17.0,1918,/players/h/hylanha01.html,Harry Hyland,RW,1969.0,80.0
26,26,August 27,1889,"January 22, 1969",1921,22.0,1921,/players/m/mcdonmo01.html,Moylan McDonnell,D,1969.0,79.0
27,27,August 25,1889,"December 9, 1945",1918,106.0,1923,/players/m/mummeha01.html,Harry Mummery,D,1945.0,56.0
28,28,February 9,1889,"June 25, 1937",1919,11.0,1919,/players/r/ronansk01.html,Skene Ronan,C,1937.0,48.0
29,29,September 26,1889,"July 1, 1961",1918,1.0,1918,/players/s/skiltra01.html,Raymie Skilton,C,1961.0,71.0
30,30,February 6,1890,"October 20, 1953",1918,129.0,1923,/players/c/camerha01.html,Harry Cameron,D,1953.0,63.0
31,31,June 15,1890,"April 30, 1963",1920,45.0,1921,/players/c/carpeed01.html,Ed Carpenter,D,1963.0,72.0
32,32,March 11,1890,"July 12, 1956",1919,259.0,1928,/players/c/cleghsp01.html,Sprague Cleghorn,D,1956.0,66.0
33,33,March 21,1890,"October 9, 1964",1925,4.0,1925,/players/c/cookll01.html,Lloyd Cook,D,1964.0,74.0
34,34,December 4,1890,"June 28, 1924",1918,121.0,1924,/players/d/darraja01.html,Jack Darragh,RW/RW/LW,1924.0,33.0
35,35,February 22,1890,"December 7, 1937",1918,128.0,1923,/players/g/gerared01.html,Eddie Gerard,D,1937.0,47.0
36,36,October 11,1890,"June 4, 1974",1925,6.0,1925,/players/h/harrism01.html,Smokey Harris,LW,1974.0,83.0
37,37,February 28,1890,"May 15, 1969",1918,126.0,1924,/players/m/malonjo01.html,Joe Malone,C/LW/C,1969.0,79.0
38,38,August 21,1890,,1925,6.0,1925,/players/m/morribe01.html,Bernie Morris,RW,,
39,39,June 10,1891,"June 3, 1952",1918,67.0,1924,/players/b/bellbi01.html,Billy Bell,F,1952.0,60.0
40,40,September 19,1891,"July 14, 1956",1919,182.0,1928,/players/c/cleghod01.html,Odie Cleghorn,C/RW/RW/C,1956.0,64.0
41,41,December 23,1891,"September 10, 1970",1918,329.0,1929,/players/d/dennecy01.html,Cy Denneny,LW,1970.0,78.0
42,42,July 4,1891,"April 13, 1975",1927,156.0,1931,/players/d/duncaar01.html,Art Duncan,D,1975.0,83.0
43,43,February 2,1891,"January 19, 1966",1927,64.0,1928,/players/f/foystfr01.html,Frank Foyston,C/LW,1966.0,74.0
44,44,May 8,1891,"January 11, 1972",1927,100.0,1929,/players/g/gardihe01.html,Herb Gardiner,D,1972.0,80.0
45,45,August 13,1891,"November 27, 1973",1918,27.0,1921,/players/l/lowreed01.html,Ed Lowrey,F,1973.0,82.0
46,46,June 1,1891,"December 21, 1969",1925,30.0,1925,/players/m/matzjo01.html,Johnny Matz,F,1969.0,78.0
47,47,June 8,1891,,1918,4.0,1918,/players/o/ogradge01.html,George O'Grady,F,,
48,48,February 18,1891,"October 25, 1935",1920,111.0,1925,/players/p/prodggo01.html,Goldie Prodgers,D/F/F/F/D,1935.0,44.0
